Canto Coding ID,Local_lat:,Local_long:,Region,Division,Subregion,Area,People,Region,Division,Subregion,Area / Kingdom,Culture,Cu_location,Arensberg-Lomax_clusters,Peoplex,C_cid,US Coding ID,Notes,Local_latitude,Local_longitude,society,society_id,Culture_location,US_Culture_name:,Audio_file_id:,Audio_notes:,Duration:,Lomax_source:,Song Title,Genre,Song_notes,Performers,Instruments,Recorded_by,Year,Publisher,Publcation_collection,Repository,Source_notes,Classification_notes,Metadata_notes,,SongTitlecondensed,Metadata_sources
,,,,,,,,,,,,,,,,,6253,,33.74,-84.38,Atlanta,62439,"Atlanta, GA",AtlantaEA1920s,,,0:02:47,,Little Log Cabin in the Lane,Old time; country; folk,"""""The Little Old Log Cabin In The Lane"" is a popular song written by Will S. Hays in 1871 for the minstrel trade. Written in dialect, the song tells of an elderly man, presumably a slave or former slave, passing his later years in a broken-down old log cabin...Performers modified the lyric over the years, eliminating Hays' ""darky"" dialect along with the original reference to slavery...Fiddlin' John Carson's recording of ""The Little Old Log Cabin In The Lane"" was one of the first commercial recordings by a rural white musician. Its popularity ensured that the industry would continue recording rural folk songs."" (Wikipedia) ","Fiddling John Carson, fiddle & vocal",,,1923,Okeh,"The Little Old Log Cabin In The Lane / The Old Hen Cackled And The Rooster's Going To Crow, Okeh 4890",,,,,The Little Old Log Cabin In The Lane / The Old Hen Cackled And The Rooster's Going To Crow,LittleLogCabinintheLane,@WikiLittleOldLogCabinInTheLane@WikiFiddlinJohnCarson@Okeh1923LittleOldLogCabinInTheLane
,,,,,,,,,,,,,,,,,6219,,33.74,-84.38,Atlanta,62439,"Atlanta, GA",AtlantaEA1930s,,,0:03:10,,Molly Put the Kettle On,String band; old time; folk,"""“Molly/Polly/Jinny Put the Kettle On” is a breakdown that originated in England and has been played as a fiddle tune and a song by country music favorites Gid Tanner and the Skillet Lickers and Uncle Dave Macon. The tune has been in the black and white fiddling traditions since the mid to late 1800’s."" (Bluegrass Messengers)","Gid Tanner & his Skillet Lickers: Gid Tanner, banjo; Clayton McMichen, fiddle; Lowe Stokes, fiddle; Riley Puckett, guitar & vocal",,,1931,Columbia,"Four Cent Cotton / Molly Put The Kettle On, Columbia 15746-D",,,,,Four Cent Cotton / Molly Put The Kettle On,MollyPuttheKettleOn,@Columbia1931MollyPutTheKettleOn@WikiSkilletLickers@MattesonNDPollyPutTheKettleOn
,,,,,,,,,,,,,,,,,6245,,35.37,-119.02,Bakersfield,,"Bakersfield, CA [Recorded in Hollywood, CA]",SoCalEA1960s,,,0:03:29,,Hungry Eyes,Country,"""""Hungry Eyes"" is a song written and recorded by American country music artist Merle Haggard and The Strangers. It was released in February 1969 as the first single from the album A Portrait of Merle Haggard. The song was one of the most famous of his career...""Hungry Eyes"" is a tribute to Oklahomans and others who lived in labor camps during the Great Depression, the time period in which this song is set. "" (Wikipedia)","Merle Haggard and the Strangers: Merle Haggard, vocal & guitar; Roy Nichols, guitar & harmonica; Norman Hamlet, steel guitar; George French, piano; Jerry Ward, bass; Eddie Burris, drums",,,1969,Capitol,"A Portrait of Merle Haggard, Capitol ST-319",,,,,A Portrait of Merle Haggard,HungryEyes,@WikiHungryEyes@WikiMerleHaggard@WikiPortraitOfMerleHaggard
,,,,,,,,,,,,,,,,,6083,,39.29,-76.62,Baltimore-Washington Black,,"Baltimore, MD [Recorded in New York City]",BaltimoreAA1950s,,,0:03:08,,Crying in the Chapel,Rhythm & Blues,"""Crying in the Chapel"" is a song written by Artie Glenn for his son Darrell to sing. The R&B group, the Orioles, recorded a cover version of the song which became a major success in 1953. The Orioles' version went to number one on the R&B chart and number eleven on the pop chart.",The Orioles,,,1953,Jubilee,"Crying In The Chapel / Don't You Think I Ought To Know, Jubilee 5122",,,,,,CryingintheChapel,@Jubilee1953CryingInTheChapel@WikiTheOrioles@WikiCryingInTheChapel
,,,,,,,,,,,,,,,,,3519,,38.91,-77.01,Baltimore-Washington Black,,"Washington, D.C. [Recorded in New York City]",WashingtonDCAA1950s,NULL,,,.A3,One Mint Julep,Rhythm & Blues,,The Clovers,,Atlantic,1952,Atlantic,"Rock & Roll Forever. Atlantic 8010, 1959.",,,,,,Hits1950sSong,@WikiOneMintJulep @Atlantic1959Rock&RollForever
,,,,,,,,,,,,,,,,,6177,,38.91,-77.01,Baltimore-Washington Black,,"Washington, D.C. [Recorded in New York City]",WashingtonDCAA1970s,,,0:05:22,,The First Time Ever I Saw Your Face,Soul; Vocal Jazz,"""The First Time Ever I Saw Your Face"" was originally a folk song. It was composed by British folksinger and activist Ewan MacColl about his then-partner Peggy Seeger, an American folksinger. It's been covered several times across several genres, but is best known for Roberta Flack's Grammy-winning version, which was prominently featured in the film ""Play Misty For Me.""","Roberta Flack, vocal & piano; Ron Carter, bass; Bucky Pizzarelli, guitar; Ray Lucas, drums & percussion; Charles McCracken, cello; George Ricci, cello; Emanuel Green, violin; Gene Orloff, violin; Alfred Brown, viola; Selwart Clarke, viola; Theodore Israel, viola",,,1972,Atlantic,"First Take, Atlantic SD 8230",,,,,First Take,FirstTake,@Atlantic1972FirstTake @WikiRobertaFlack @WikiFirstTimeEverISawYourFace @WikiFirstTake
,,,,,,,,,,,,,,,,,6222,,38.91,-77.01,Baltimore-Washington White,,"Washington, D.C. ",WashingtonDCEA1960s,,,0:03:14,,Two Little Boys,Bluegrass,"""""Two Little Boys"" is a song written by American composer Theodore F. Morse and lyricist Edward Madden. It was written in 1902 and became a popular music hall song of the time, especially by Scottish singer Harry Lauder. It describes the story of two boys who grow up to fight in a war...The bluegrass band The Country Gentlemen released ""Two Little Boys"" in their album Bluegrass at Carnegie Hall."" (Wikipedia)","Country Gentlemen: Charlie Waller, guitar & vocal; John Duffey, mandolin & vocal; Eddie Adcock, banjo & vocal; Tom Gray, bass & vocal",,,1962,Starday,"Bluegrass At Carnegie Hall, Starday SLP-174",,,,,Bluegrass At Carnegie Hall,TwoLittleBoys,@WikiTwoLittleBoys@WikiCountryGentlemen@Starday1962BluegrassAtCarnegieHall
,,,,,,,,,,,,,,,,,6057,,52.52,13.41,Berlin,,"Berlin, Germany",Berlin1930s,,,0:03:25,,Lili Marlene,Love song,"""Lili Marleen"" (also spelled ""Lili Marlen"", ""Lilli Marlene"", ""Lily Marlene"", ""Lili Marlène"" among others) is a German love song performed by Lale Andersen, which became popular during World War II throughout Europe and the Mediterranean among both Axis and Allied troops. Written in 1915 as a poem, the song was published in 1937 and was first recorded by Lale Andersen in 1939 as ""Das Mädchen unter der Laterne"" (""The Girl under the Lantern"").","Lale Anderson, vocal",,,1939,Electrola,"Lili Marlen, Electrola 6993",,,,,Lili Marlen,LiliMarlene,@Electrola1939LiliMarlene @WikiLiliMarleen @WikiLaleAndersen
,,,,,,,,,,,,,,,,,6028,,40.71,-74.00,Broadway,,"New York, NY",BroadwayAA1920s,,,0:03:21,,Bandana Days,Ragtime; Jazz; Broadway,"The song ""Bandana Day"" was written for ""Shuffle Along"" a musical revue featuring a connecting plot about a mayoral race written by Flournoy Miller and Aubrey Lyles. The show was the first majorly successful African American musical, premiering on Broadway at the 63rd Street Music Hall on May 23rd 1921 and closing on July 15th 1922 after 484 performances. ","Eubie Blake and the Shuffle Along Orchestra: Eubie Blake, piano; Billy Hicks, trumpet; Russell Smith, trumpet; Leroy Vanderveer, trumpet; Calvin Jones, trombone; Bill Johnson, clarinet; Sam Yearwood, flute; Vess Williams, alto sax; Noble Sissle, violin; John Ricks, tuba; drums",,,1921,Victor,"Baltimore Buzz / Bandana Days, Victor 18791",,,,,Baltimore Buzz / Bandana Days,BandanaDays,@Victor1921BandanaDays @NJBBandanaDays @ChauvinNDBandanaDays @WikiEubieBlake
,,,,,,,,,,,,,,,,,6029,,40.71,-74.00,Broadway,,"New York, NY",BroadwayAA1920s,,,0:03:54,,I'm Just Wild About Harry,Ragtime; Jazz; Broadway; foxtrot,"I'm Just Wild About Harry"" is a song written in 1921 with lyrics by Noble Sissle and music by Eubie Blake for the Broadway show Shuffle Along. ""I'm Just Wild About Harry"" was the most popular number of the production, which was the first financially successful Broadway play to have African-American writers and an all African-American cast. Originally written as a waltz, Blake rewrote the number as a foxtrot at the singer's request. The result was a simple, direct, joyous, and infectious tune enhanced onstage by improvisational dancing.","Eubie Blake, piano",,,1921,Victor,"I'm Just Wild About Harry, Victor Trial 1921-06-30-01",,,,,I'm Just Wild About Harry,ImJustWildAboutHarry,@Victor1921ImJustWildAboutHarry @WIkiNobleSissle @WikiEubieBlake @WikiImJustWildAboutHarry @LOCImJustWildAboutHarry
,,,,,,,,,,,,,,,,,6007,,40.71,-74.00,Broadway,,"New York, NY",BroadwayAA1910s,,,0:02:42,,Everybody Wants a Key to My Cellar,Vaudeville; Broadway; Prohibition song; comedy,"Bert Williams was a Bahamian-American entertainer, one of the pre-eminent entertainers of the Vaudeville era and one of the most popular comedians for all audiences of his time.Between 1918 and 1921, he recorded several records in the guise of ""Elder Eatmore"", an unscrupulous preacher, as well as songs dealing with Prohibition, such as ""Everybody Wants a Key to My Cellar.""","Bert Williams, vocal",,,1919,Columbia,"Everybody Wants a Key to My Cellar, Columbia A2750",,,,,Everybody Wants a Key to My Cellar,EverybodyWantsaKeytoMyCellar,@Columbia1919EverybodyWantsaKeytoMyCellar @WikiBertWilliams
,,,,,,,,,,,,,,,,,6008,,40.71,-74.00,Broadway,,"New York, NY",BroadwayAA1910s,,,0:02:46,,Somebody,Vaudeville; Broadway; comedy,"Bert Williams, the most popular black entertainer of the early 20th century, recorded this in 1919 as a sequel to his huge hit, “Nobody.” A wise Bert Williams takes a stand passing up a chance to play hero in favor of his own personal safety. Still, it would be a 'wonderful opportunity' for somebody (""Somebody Else, Not Me"").","Bert Williams, vocal",,,1919,Columbia,"The moon shines on the moonshine / Somebody, Columbia A2849",,,,,The moon shines on the moonshine / Somebody,Somebody,@Columbia1919Somebody @WikiBertWilliams @ChauvinNDSomebody @Wald2016SomebodyElseNotMe
,,,,,,,,,,,,,,,,,6045,,41.31,-72.92,Broadway,,"New Haven, CT [Recorded in New York City]",BroadwayEA1930s,,,0:03:20,,Life is Just a Bowl of Cherries,Traditional pop; Broadway,"""Life Is Just a Bowl of Cherries"" is a popular song with music by Ray Henderson and lyrics by Lew Brown, published in 1931. Ethel Merman introduced this song in George White's Scandals of 1931. A Rudy Vallée version, recorded in 1931, spent five weeks in the top-10 pop music charts.","Rudy Vallee, vocal",,,1931,Victor,"Life is just a bowl of cherries, Victor 22783",,,,,Life is just a bowl of cherries,LifeisJustaBowlofCherries,@Victor1931LifeisJustaBowlofCherries @WikiRudyVallee @WikiLifeIsJustABowlOfCherries
,,,,,,,,,,,,,,,,,6033,,40.71,-74.00,Broadway,,"New York, NY",BroadwayJA/AA1920s,,,0:03:54,,"Old Man River (from ""Showboat"")",Broadway,"""Ol' Man River"" (music by Jerome Kern, lyrics by Oscar Hammerstein II) is a show tune from the 1927 musical Show Boat that contrasts the struggles and hardships of African Americans with the endless, uncaring flow of the Mississippi River. It is sung from the point of view of a black stevedore on a showboat, and is the most famous song from the show. ","Paul Robeson, vocal; Paul Whiteman Concert Orchestra",,,1927,Victor,"Ol' Man River, Victor 35912",,,,,Ol' Man River,OlManRiver,@Victor1927OlManRiver @WikiOlManRiver @WikiShowBoat @WikiPaulRobeson @Simon2003OlManRiver
,,,,,,,,,,,,,,,,,5208,,40.71,-74.00,Broadway,,"New York, NY",BroadwayEA1940s,,,0:02:30,,"Oklahoma (from ""Oklahoma"")",Musical; Broadway,"""""Oklahoma"" is the title song from the Broadway musical Oklahoma!, named for the setting of the musical play. The music and lyrics were written by Richard Rodgers and Oscar Hammerstein II...Midway through the second act of the play, after the principals Curly and Laurey are married, Curly begins to sing the song and is soon joined by the entire cast as a chorus. The lyric, which briefly depicts the Midwestern twang phonetically, describes the landscape and prairie weather in positive language. It further emphasizes the wholesome aspects of rural life, and the steadfast dedication of the region's inhabitants, against the overtly stated formal backdrop of the territory's impending admission to the Union in 1907."" (Wikipedia)","Alfred Drake, Oklahoma Chorus, vocal",,,1943,Decca,"Oklahoma!, Decca A-359",,,,,Oklahoma!,"Oklahoma(from""Oklahoma"")","https://en.wikipedia.org/wiki/Oklahoma_(Rodgers_and_Hammerstein_song)
https://www.discogs.com/Richard-Rodgers-And-Oscar-Hammerstein-II-Oklahoma-Orchestra-And-Chorus-Directed-By-Jay-Blackton-Okla/release/2056225"
,,,,,,,,,,,,,,,,,6074,,40.71,-74.00,Broadway,,"New York, NY",BroadwayEA1940s,,,0:02:57,,"Some Enchanted Evening (from ""South Pacific"")",Musical; Broadway,"""Some Enchanted Evening"" is a show tune from the 1949 Rodgers and Hammerstein musical South Pacific. It is ""the single biggest popular hit to come out of any Rodgers and Hammerstein show."" It is a three-verse solo for the leading male character, Emile, in which he describes seeing a stranger, knowing that he will see her again, and dreaming of her laughter. He sings that when you find your ""true love"", you must ""fly to her side, / And make her your own"".","Ezio Pinza, vocal",,,1949,Columbia,"South Pacific With Original Broadway Cast, Columbia A-850",,,,,South Pacific With Original Broadway Cast,SouthPacific,@Columbia1949SouthPacific @WikiSomeEnchantedEvening @WikiSouthPacificMusical @WikiEzioPinza @WikiRodgersAndHammerstein
,,,,,,,,,,,,,,,,,6075,,40.71,-74.00,Broadway,,"New York, NY",BroadwayEA1940s,,,0:03:32,,"Happy Talk (from ""South Pacific"")",Musical; Broadway,"""Happy Talk"" is a show tune from the 1949 Rodgers and Hammerstein musical South Pacific. It is sung by Bloody Mary to the American lieutenant Joe Cable, about having a happy life, after he begins romancing her daughter Liat. Liat performs the song with hand gestures as Mary sings.","Juanita Hall, vocal",,,1949,Columbia,"South Pacific With Original Broadway Cast, Columbia A-850",,,,,South Pacific With Original Broadway Cast,SouthPacific,@Columbia1949SouthPacific @WikiHappyTalk @WikiBloodyMarySouthPacific @WikiJuanitaHall @WikiSouthPacificMusical @WikiRodgersAndHammerstein
